timestamp	io_ms	compute_ms	thread_ms
2026-05-02T05:53:45.386041	0.143	4.773	10.375
2026-05-03T06:08:22.645356	0.185	6.231	12.298
2026-05-04T06:09:34.783938	0.165	6.191	12.559
2026-05-05T05:59:49.513146	0.174	6.079	12.354
2026-05-06T06:08:40.883484	0.151	10.42	16.086
2026-05-07T06:09:23.891595	0.193	6.292	12.41
2026-05-08T05:47:40.900330	0.123	6.062	12.478
2026-05-09T06:00:44.351334	0.131	6.057	12.688
2026-05-10T06:09:35.644046	0.138	6.171	12.509
2026-05-11T06:23:02.360809	0.209	6.337	13.022
2026-05-12T06:10:04.468307	0.162	6.11	13.061
2026-05-13T06:13:43.702110	0.138	5.981	12.399
2026-05-14T06:12:23.954579	0.195	6.071	15.14
2026-05-15T06:19:10.531077	0.164	6.327	12.553
2026-05-16T06:05:22.038479	0.144	4.871	9.933
2026-05-17T06:11:14.446727	0.134	6.125	12.592
2026-05-18T06:32:33.842133	0.172	4.79	9.658
2026-05-19T06:29:32.798453	0.141	6.161	12.586
2026-05-20T06:29:14.034216	0.133	6.647	13.048
2026-05-21T06:29:58.510630	0.168	6.031	12.649
2026-05-22T06:29:04.890110	0.225	6.247	12.685
2026-05-23T06:09:47.848357	0.181	12.301	15.219
2026-05-24T06:22:20.126141	0.151	6.367	13.017
2026-05-25T06:38:31.382257	0.236	6.491	15.575
2026-05-26T06:28:32.711929	0.13	6.06	13.1
2026-05-27T06:37:12.222295	0.139	6.202	12.4
2026-05-28T06:31:58.070894	0.173	5.472	15.527
2026-05-29T06:32:23.488274	0.131	5.959	12.947
2026-05-30T06:11:27.870529	0.173	6.254	12.775
2026-05-31T06:34:02.033375	0.12	5.975	12.701
2026-06-01T06:41:57.575428	0.157	6.218	12.779
2026-06-02T06:39:36.468066	0.149	6.153	15.228
2026-06-03T06:41:33.039912	0.771	6.473	12.902
2026-06-04T06:39:43.603742	0.106	4.754	9.519
2026-06-05T06:37:51.225097	0.149	6.166	12.623
2026-06-06T06:16:17.881994	0.174	4.746	12.612
2026-06-07T06:37:28.480487	0.124	5.511	11.897
2026-06-08T06:39:35.741541	0.146	6.175	13.304
2026-06-09T06:28:57.554713	0.142	6.056	13.152
2026-06-10T06:37:41.429120	0.151	6.186	14.962
2026-06-11T06:40:39.918472	0.15	6.052	12.772
2026-06-12T06:39:24.237067	0.15	6.065	13.021
2026-06-13T06:31:43.858922	0.154	5.913	13.336
2026-06-14T06:39:17.221718	0.11	5.426	12.165
2026-06-15T06:54:12.312321	0.177	6.256	13.951
2026-06-16T06:55:29.444022	0.179	6.293	12.766
2026-06-17T06:48:28.538677	0.163	6.557	12.936
2026-06-18T06:41:18.186314	0.148	5.83	12.721
2026-06-19T06:49:51.471323	0.147	6.399	13.139
2026-06-20T06:37:16.429303	0.162	6.139	12.921
2026-06-21T06:40:49.527762	0.123	6.137	12.468
2026-06-22T06:54:49.845113	0.14	6.063	12.544
2026-06-23T06:29:06.071609	0.142	6.58	13.174
2026-06-24T06:26:34.683885	0.119	5.425	13.237
2026-06-25T06:28:45.670334	0.203	6.223	15.682
2026-06-26T06:29:53.707077	0.157	6.002	12.568
2026-06-27T06:16:30.870583	0.14	6.27	13.072
2026-06-28T06:35:16.634090	0.154	6.386	12.742
2026-06-29T06:39:48.106395	0.131	5.761	16.173
2026-06-30T06:32:00.930255	0.127	5.361	12.712
2026-07-01T06:37:35.350592	0.13	5.806	12.573
2026-07-02T06:22:57.355506	0.124	5.867	12.47
2026-07-03T08:18:00.279778	0.124	6.19	12.126
2026-07-04T07:54:24.862915	0.19	6.061	14.097
2026-07-05T08:08:38.824703	0.152	6.034	15.295
2026-07-06T09:06:53.268104	0.154	5.839	12.848
2026-07-07T08:32:18.303915	0.14	6.154	12.477
2026-07-08T07:37:08.580772	0.202	6.249	13.079
2026-07-09T08:40:23.551689	0.134	5.664	12.021
2026-07-10T08:30:03.920426	0.196	6.212	12.894
2026-07-11T07:17:09.592010	0.177	6.183	12.352
2026-07-12T07:33:41.684030	0.137	6.251	12.464
2026-07-13T08:23:44.598887	0.172	6.123	12.503
2026-07-14T07:16:53.036318	0.151	5.956	14.149
2026-07-15T07:20:37.761104	0.259	6.324	13.413
2026-07-16T07:28:22.949402	0.162	6.204	12.77
2026-07-17T07:24:47.317060	0.148	6.12	12.214
2026-07-18T07:03:37.389970	0.131	6.039	12.731
2026-07-19T07:32:27.236728	0.138	3.906	7.732
2026-07-20T08:14:07.023993	0.125	5.864	12.151
2026-07-21T07:39:01.964547	0.158	5.901	12.925
2026-07-22T07:39:18.192484	0.129	5.912	12.381
2026-07-23T07:40:15.146604	0.105	4.84	9.621
2026-07-24T07:38:23.056857	0.143	6.062	15.268
2026-07-25T07:24:24.808756	0.225	6.099	15.281
2026-07-26T07:41:49.396268	0.143	6.275	12.99
2026-07-27T08:40:06.765747	0.139	6.122	12.405
2026-07-28T07:43:54.488654	0.131	4.735	10.315
2026-07-29T07:49:01.999100	0.135	5.776	12.421
2026-07-30T07:39:28.235040	0.144	6.057	12.449
2026-07-31T08:04:50.460239	0.152	5.771	12.806
2026-08-01T07:33:52.529789	0.169	6.719	13.069
2026-08-02T07:37:15.035390	0.139	5.791	12.665
2026-08-03T08:36:57.554804	0.127	5.858	13.519
2026-08-04T07:44:53.123249	0.186	6.649	12.875
2026-08-05T07:45:58.956026	0.084	4.631	9.494
2026-08-06T07:45:23.266544	0.152	5.821	12.693
2026-08-07T06:12:35.012939	0.22	6.246	12.782
2026-08-08T05:49:47.416272	0.164	6.158	12.545
2026-08-09T05:52:40.772014	0.121	5.798	12.257
2026-08-10T06:17:01.249901	0.178	6.532	12.626
2026-08-11T05:58:30.223536	0.16	5.992	12.432
2026-08-12T06:21:25.343041	0.161	6.302	12.828
2026-08-13T06:23:08.272268	0.092	3.819	9.036
2026-08-14T06:21:03.053541	0.162	5.977	13.129
