timestamp	io_ms	compute_ms	thread_ms
2026-05-02T05:53:45.386041	0.143	4.773	10.375
2026-05-03T06:08:22.645356	0.185	6.231	12.298
2026-05-04T06:09:34.783938	0.165	6.191	12.559
2026-05-05T05:59:49.513146	0.174	6.079	12.354
2026-05-06T06:08:40.883484	0.151	10.42	16.086
2026-05-07T06:09:23.891595	0.193	6.292	12.41
2026-05-08T05:47:40.900330	0.123	6.062	12.478
2026-05-09T06:00:44.351334	0.131	6.057	12.688
2026-05-10T06:09:35.644046	0.138	6.171	12.509
2026-05-11T06:23:02.360809	0.209	6.337	13.022
2026-05-12T06:10:04.468307	0.162	6.11	13.061
2026-05-13T06:13:43.702110	0.138	5.981	12.399
2026-05-14T06:12:23.954579	0.195	6.071	15.14
2026-05-15T06:19:10.531077	0.164	6.327	12.553
2026-05-16T06:05:22.038479	0.144	4.871	9.933
2026-05-17T06:11:14.446727	0.134	6.125	12.592
2026-05-18T06:32:33.842133	0.172	4.79	9.658
2026-05-19T06:29:32.798453	0.141	6.161	12.586
2026-05-20T06:29:14.034216	0.133	6.647	13.048
2026-05-21T06:29:58.510630	0.168	6.031	12.649
2026-05-22T06:29:04.890110	0.225	6.247	12.685
2026-05-23T06:09:47.848357	0.181	12.301	15.219
2026-05-24T06:22:20.126141	0.151	6.367	13.017
2026-05-25T06:38:31.382257	0.236	6.491	15.575
2026-05-26T06:28:32.711929	0.13	6.06	13.1
2026-05-27T06:37:12.222295	0.139	6.202	12.4
2026-05-28T06:31:58.070894	0.173	5.472	15.527
2026-05-29T06:32:23.488274	0.131	5.959	12.947
2026-05-30T06:11:27.870529	0.173	6.254	12.775
2026-05-31T06:34:02.033375	0.12	5.975	12.701
2026-06-01T06:41:57.575428	0.157	6.218	12.779
2026-06-02T06:39:36.468066	0.149	6.153	15.228
2026-06-03T06:41:33.039912	0.771	6.473	12.902
2026-06-04T06:39:43.603742	0.106	4.754	9.519
2026-06-05T06:37:51.225097	0.149	6.166	12.623
2026-06-06T06:16:17.881994	0.174	4.746	12.612
2026-06-07T06:37:28.480487	0.124	5.511	11.897
2026-06-08T06:39:35.741541	0.146	6.175	13.304
2026-06-09T06:28:57.554713	0.142	6.056	13.152
2026-06-10T06:37:41.429120	0.151	6.186	14.962
2026-06-11T06:40:39.918472	0.15	6.052	12.772
2026-06-12T06:39:24.237067	0.15	6.065	13.021
2026-06-13T06:31:43.858922	0.154	5.913	13.336
2026-06-14T06:39:17.221718	0.11	5.426	12.165
2026-06-15T06:54:12.312321	0.177	6.256	13.951
2026-06-16T06:55:29.444022	0.179	6.293	12.766
2026-06-17T06:48:28.538677	0.163	6.557	12.936
2026-06-18T06:41:18.186314	0.148	5.83	12.721
2026-06-19T06:49:51.471323	0.147	6.399	13.139
2026-06-20T06:37:16.429303	0.162	6.139	12.921
2026-06-21T06:40:49.527762	0.123	6.137	12.468
2026-06-22T06:54:49.845113	0.14	6.063	12.544
2026-06-23T06:29:06.071609	0.142	6.58	13.174
